sitc_in,sitc_out,dist,source,x_o,y_o,target,x_d,y_d,min_dist,u,v
0482,2117,3.941228775940286,0.0,15.48288,-2.8478978,5.0,14.176732,0.870605,3.941228775940286,-1.3061476,3.7185028
0545,2929,7.423963794300557,3.0,11.43904,2.4074,4.0,18.311752,5.2147236,7.423963794300557,6.872712,2.8073237
0582,6665,1.1359500097858928,2.0,9.756202,5.2881665,17.0,9.956572,6.4063053,1.1359500097858928,0.20036983,1.1181388
0585,6746,4.060609146602186,3.0,10.026635,0.6370693,14.0,8.8545065,-3.2506886,4.060609146602186,-1.1721287,-3.8877578
0615,2876,1.060765376967088,4.0,18.621372,6.3724914,9.0,17.823038,7.0709796,1.060765376967088,-0.7983341,0.69848824
0615,6960,10.478708803309823,4.0,18.621372,6.3724914,12.0,8.687261,9.706673,10.478708803309823,-9.934112,3.3341813
0615,8472,7.283437538108522,4.0,18.621372,6.3724914,17.0,11.5086,7.9399533,7.283437538108522,-7.112772,1.567462
0723,2460,0.3498337505848254,9.0,16.332157,7.099867,11.0,15.982857,7.0805564,0.3498337505848254,-0.34930038,-0.019310474
1221,6538,6.456233107925573,3.0,9.735949,3.188027,12.0,7.3825912,9.200069,6.456233107925573,-2.3533573,6.0120425
2117,0482,3.941228775940286,5.0,14.176732,0.870605,0.0,15.48288,-2.8478978,3.941228775940286,1.3061476,-3.7185028
2119,0573,1.4442591317214315,5.0,12.768747,1.2118616,3.0,11.486779,1.8770249,1.4442591317214315,-1.2819681,0.6651633
2223,1221,0.3359839610460514,2.0,9.892142,3.4854975,3.0,9.735949,3.188027,0.3359839610460514,-0.15619373,-0.29747057
2223,2112,3.518835716258975,2.0,9.892142,3.4854975,5.0,13.198356,2.2808573,3.518835716258975,3.3062134,-1.2046402
2231,9710,0.3056756615072278,9.0,16.907982,7.6339345,13.0,16.89677,7.9394045,0.3056756615072278,-0.011211395,0.30547
2232,6538,4.139974049088601,2.0,9.171111,5.4663606,12.0,7.3825912,9.200069,4.139974049088601,-1.7885199,3.7337089
2655,0129,0.804617990194772,4.0,20.201355,6.067304,1.0,21.002472,6.1422825,0.804617990194772,0.80111694,0.07497835
2871,2472,0.35010396831043245,13.0,15.967896,7.611049,11.0,15.774837,7.3189864,0.35010396831043245,-0.19305992,-0.29206276
2927,6665,3.013607020935109,3.0,10.296418,3.411922,17.0,9.956572,6.4063053,3.013607020935109,-0.3398466,2.9943833
2929,0545,7.423963794300557,4.0,18.311752,5.2147236,3.0,11.43904,2.4074,7.423963794300557,-6.872712,-2.8073237
3231,2873,0.7635194871222531,7.0,21.520851,10.916914,6.0,22.21179,10.592006,0.7635194871222531,0.69093895,-0.32490826
6114,2871,5.557575457541153,5.0,14.021127,2.405597,13.0,15.967896,7.611049,5.557575457541153,1.9467697,5.205452
6518,7599,4.116746066044054,12.0,6.371867,9.483599,16.0,3.1801586,6.8834844,4.116746066044054,-3.1917086,-2.6001143
6521,7742,3.287488517563453,12.0,6.226042,10.361972,10.0,3.033546,11.146543,3.287488517563453,-3.1924958,0.7845707
6624,2226,4.579230245039215,14.0,10.59373,-4.6965985,0.0,15.136228,-4.1177506,4.579230245039215,4.5424976,0.5788479
6624,2924,12.435006878709121,14.0,10.59373,-4.6965985,4.0,18.62424,4.7976255,12.435006878709121,8.030511,9.494225
6746,2119,5.935961193479258,14.0,8.8545065,-3.2506886,5.0,12.768747,1.2118616,5.935961193479258,3.9142408,4.46255
6811,0615,2.0862329885985393,13.0,17.326584,8.0083065,4.0,18.621372,6.3724914,2.0862329885985393,1.2947884,-1.6358151
6841,8121,6.942884739872543,14.0,7.5423107,-3.829903,15.0,1.6100154,-0.22275433,6.942884739872543,-5.9322953,3.6071486
6960,8435,0.9559964613749962,12.0,8.687261,9.706673,17.0,9.116542,8.852479,0.9559964613749962,0.42928123,-0.8541937
7367,5914,5.86032130278594,15.0,-1.5399307,3.9950478,10.0,-0.5575664,9.772446,5.86032130278594,0.9823643,5.777398
7611,7441,2.3780329021294246,16.0,1.8215909,5.0472913,15.0,0.5543251,3.0350592,2.3780329021294246,-1.2672658,-2.012232
8431,7768,5.472136254642618,17.0,8.734054,7.6697965,16.0,3.3953571,6.4687157,5.472136254642618,-5.3386965,-1.2010808
8435,6960,0.9559964613749962,17.0,9.116542,8.852479,12.0,8.687261,9.706673,0.9559964613749962,-0.42928123,0.8541937
8983,7271,2.5255123635677155,16.0,2.3663964,7.431967,10.0,2.2524524,9.954907,2.5255123635677155,-0.11394405,2.5229406
