sitc,x,y,cluster,sitc_name,n_prod,cluster_cl
0,15.890849,-4.2139983,,,,
0011,15.46609,-4.065872,0.0,"Animals of the bovine species (including buffaloes), live",2.0,0.0
0012,15.602483,-4.3093486,0.0,"Sheep and goats, live",2.0,0.0
0013,16.243904,-3.147542,2.0,"Swine, live",6.0,0.0
0014,17.00905,-3.7236023,5.0,"Poultry, live",3.0,0.0
0015,16.250229,-4.8590617,3.0,"Equine species, live",9.0,0.0
0019,21.58694,6.0862684,1.0,"Live animals of a kind mainly used for human food, nes",4.0,1.0
0111,16.509937,-4.9790545,3.0,"Bovine meat, fresh, chilled or frozen",9.0,0.0
0112,15.242263,-4.5082355,3.0,"Meat of sheep and goats, fresh, chilled or frozen",9.0,0.0
0113,16.692238,-2.7211382,2.0,"Pig meat fresh, chilled or frozen",6.0,0.0
0114,15.930528,-2.9523735,2.0,"Poultry, dead and edible offal, fresh, chilled or frozen",6.0,0.0
0115,16.002155,-4.579309,3.0,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",9.0,0.0
0116,15.5218,-4.7879496,3.0,"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen",9.0,0.0
0118,21.601698,5.717451,1.0,"Other fresh, chilled or frozen meat or edible meat offal",4.0,1.0
0121,16.17003,-2.6645553,2.0,"Bacon, ham, other dried, salted or smoked meat of domestic swine",6.0,0.0
0129,21.002472,6.1422825,1.0,"Meat and edible meat offal, nes, in brine, dried, salted or smoked",4.0,1.0
0141,16.129637,-5.3357887,3.0,Meat extracts and juices; fish extracts,9.0,0.0
0142,16.734482,-4.493628,4.0,"Sausages and the like, of meat, meat offal or animal blood",10.0,0.0
0149,16.719934,-4.7647486,4.0,Other prepared or preserved meat or meat offal,10.0,0.0
0223,16.961845,-4.0526233,4.0,"Milk and cream fresh, not concentrated or sweetened",10.0,0.0
0224,17.221334,-4.066629,4.0,"Milk and cream, preserved, concentrated or sweetened",10.0,0.0
0230,17.610725,-3.9296594,4.0,Butter,10.0,0.0
0240,17.47089,-4.3328705,4.0,Cheese and curd,10.0,0.0
0251,17.389055,-3.6133828,5.0,"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell",3.0,0.0
0252,17.171408,-3.3290043,5.0,"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell",3.0,0.0
0341,21.619757,4.526796,6.0,"Fish, fresh or chilled, excluding fillet",8.0,1.0
0342,22.189482,5.1106043,6.0,"Fish, frozen, excluding fillets",8.0,1.0
0343,21.859118,4.8692985,6.0,"Fish fillets, fresh or chilled",8.0,1.0
0344,21.998896,5.34827,6.0,"Fish fillets, frozen",8.0,1.0
0350,22.151804,4.5310726,6.0,"Fish, dried, salted or in brine; smoked fish",8.0,1.0
